ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-7542885,1587.0,c1csc2c1CCO[C@H]2CN,C[C@@H]1OCCc2ccsc21
EN300-7542944,403.0,Cc1cccc(c1)CC(C2CCCO2)N,Cc1cccc(CC[C@H]2CCCO2)c1
EN300-7542968,899.0,CC1C2CC(C2)(O1)CN,C[C@@H]1OC2(C)CC1C2
EN300-7543091,530.0,c1c(cn2c(n1)nc(n2)CN)Br,Cc1nc2ncc(Br)cn2n1
EN300-7544062,594.0,COC1(CCC12CC(C2)N)OC,COC1(OC)CCC12CCC2
EN300-7544093,418.0,Cn1c2c(cc(c(n2)Cl)CN)cn1,Cc1cc2cnn(C)c2nc1Cl
EN300-7544106,438.0,C1COCCC12CC(CO2)N,C1COC2(C1)CCOCC2
EN300-6763912,899.0,C[C@@H](Cc1ccsc1)N,CCCc1ccsc1
EN300-6787165,607.0,CC1(OCC(CO1)CCN)C,CCC1COC(C)(C)OC1
EN300-7551621,637.0,C[C@H](c1cccnc1F)N,CCc1cccnc1F
EN300-7551630,637.0,C[C@@H](c1cccnc1F)N,CCc1cccnc1F
EN300-27108604,735.0,C[C@@H](COC(F)F)N,CCCOC(F)F
EN300-27108609,353.0,c1c(nc2n1CCCC2CN)C(F)(F)F,C[C@H]1CCCn2cc(C(F)(F)F)nc21
EN300-7562761,530.0,CS(=O)(=O)[C@H]1C[C@@H](C1)CN,CS(=O)(=O)[C@H]1C[C@H](C)C1
EN300-7562776,361.0,CC1(CC(=NO1)S(=O)(=O)CCN)C,CCS(=O)(=O)C1=NOC(C)(C)C1
EN300-7562808,481.0,C1[C@@H](C[C@@H]1CCN)O,CC[C@H]1C[C@@H](O)C1
EN300-27118157,735.0,CC1(CC2(C1)CC(C2)(F)F)N,CC1CC2(C1)CC(F)(F)C2
EN300-7544701,530.0,Cc1ccccc1n2ccc(n2)C(C)N,CCc1ccn(-c2ccccc2C)n1
EN300-7224225,418.0,CN(CCCCCN)Cc1ccccc1,CCCCCN(C)Cc1ccccc1
EN300-27113412,524.0,c1cnccc1OC2CCC(C2)CN,CC1CCC(Oc2ccncc2)C1
EN300-7563213,735.0,C1C2CC3C1C3(C2)CN,CC12CC3CC1C2C3
EN300-27115332,1099.0,CC(C)n1c2c(cn1)CCCC(C2)N,CC(C)n1ncc2c1CCCCC2
EN300-20878263,481.0,C1CCC2(CC1)CC(CCO2)N,C1CCC2(CC1)CCCCO2
EN300-7443835,315.0,C1[C@@H]([C@H]([C@H]([C@@H]1N)O)O)CO,OC[C@H]1CC[C@H](O)[C@@H]1O
EN300-7377455,999.0,C[C@@H](CN)c1ccccc1,CC(C)c1ccccc1
EN300-27114390,431.0,Cc1ccc(nc1CN)OC,COc1ccc(C)c(C)n1
EN300-27115078,509.0,C1C[C@@H]2C[C@@H](C[C@H](C1)C2(F)F)CN,C[C@@H]1C[C@@H]2CCC[C@H](C1)C2(F)F
EN300-7459345,487.0,CCCCCCCCCCCCCC(=O)NCCCCN,CCCCCCCCCCCCCC(=O)NCCCC
EN300-7562727,735.0,CC(C)(C)C1(CCC1)N,CC(C)(C)C1CCC1
EN300-7562788,586.0,CCCc1ccccc1CN,CCCc1ccccc1C
EN300-7563187,509.0,c1c(cc(c(c1O)O)O)CN,Cc1cc(O)c(O)c(O)c1
EN300-7547467,721.0,c1c[nH]nc1N2CCC(C2=O)N,O=C1CCCN1c1cc[nH]n1
EN300-331982,650.0,C1CC(COC1)c2nnc(o2)CN,Cc1nnc([C@H]2CCCOC2)o1
EN300-7547493,431.0,C1CC(N(C1)C2CC(C2)N)C(=O)N,NC(=O)[C@@H]1CCCN1C1CCC1
EN300-7547499,438.0,COc1cc(ccc1Br)C2(CC2)N,COc1cc(C2CC2)ccc1Br
EN300-27114939,955.0,C1COCC1[C@@H](C(F)F)N,FC(F)C[C@H]1CCOC1
EN300-7536099,361.0,CC=C=CCCN,CC=C=CCC
EN300-7563220,438.0,c1cc2c(cco2)cc1CCN,CCc1ccc2occc2c1
EN300-7547772,666.0,c1ccc(cc1)SC(=O)CN,CC(=O)Sc1ccccc1
EN300-7547805,452.0,CCOC(C#CCN)OCC,CC#CC(OCC)OCC
EN300-7547807,666.0,CC[C@@H]1C[C@H]1CCN,CC[C@@H]1C[C@H]1CC
EN300-7548834,509.0,c1ccc(c(c1)OCc2cc(no2)CN)F,Cc1cc(COc2ccccc2F)on1
EN300-7548922,963.0,COc1cc(cc(c1OCC2CC2(F)F)OC)CCN,CCc1cc(OC)c(OC[C@H]2CC2(F)F)c(OC)c1
EN300-21633514,977.0,C#C[C@H]1CCCC[C@H]1N,C#CC1CCCCC1
EN300-7535906,431.0,C1CC(NC1=O)(CN)C(F)(F)F,C[C@@]1(C(F)(F)F)CCC(=O)N1
EN300-27115502,388.0,c1c(cc(cc1Cl)Cl)C2(CCC2)N,Clc1cc(Cl)cc(C2CCC2)c1
EN300-12578152,200.0,c1cc(c(cc1)O[C@H]2CC[C@@H](CC2)N)C#N,N#Cc1ccccc1OC1CCCCC1
EN300-27115136,955.0,C1COCC1[C@H](C(F)F)N,FC(F)C[C@H]1CCOC1
EN300-27115143,509.0,C1C[C@H]([C@H]2[C@@H]1[C@@H]3C[C@H]2C=C3)N,C1=C[C@@H]2C[C@H]1[C@@H]1CCC[C@H]21
EN300-7536401,862.0,CC[C@@H](C(F)F)N,CCCC(F)F
EN300-7536422,418.0,c1ccc(cc1)[C@H]2C[C@@]2(CN)CO,C[C@@]1(CO)C[C@@H]1c1ccccc1
EN300-7537208,288.0,C1C[C@H]([C@@H]2CCCN2C1)N,C1CCN2CCC[C@H]2C1
EN300-27113106,666.0,C1C(CC2COCC1C2(F)F)N,FC1(F)C2CCCC1COC2
EN300-27113147,463.0,C(CCCCN)CCCCO,CCCCCCCCCO
EN300-27115512,431.0,c1c(c(cc(c1F)F)F)C2(CC2)N,Fc1cc(F)c(C2CC2)cc1F
EN300-7536124,650.0,c1cnc(nc1)C(CC2CC2)N,c1cnc(CCC2CC2)nc1
EN300-7506880,524.0,CN1CCN(CC1)c2cc(cc(c2)F)CN,Cc1cc(F)cc(N2CCN(C)CC2)c1
EN300-7542623,466.0,C1CC(C1)(CC2CC2)N,C1CC(CC2CC2)C1
EN300-27108749,530.0,Cn1c(c(cn1)S(=O)(=O)N)CN,Cc1c(S(N)(=O)=O)cnn1C
EN300-27113505,530.0,c1ccc(cc1)C[C@H]2CC[C@H]2N,c1ccc(CC2CCC2)cc1
EN300-7542460,509.0,C[C@H](c1ccc(cc1)OCC(F)F)N,CCc1ccc(OCC(F)F)cc1
EN300-7542482,403.0,C1CC(C1)CC2(CC2)CN,CC1(CC2CCC2)CC1
EN300-7544983,530.0,C1CC(C1)(CC2CC2)CN,CC1(CC2CC2)CCC1
EN300-7545001,629.0,CS[C@H]1C[C@@H](C1)CN,CS[C@H]1C[C@H](C)C1
EN300-7545010,509.0,C1COC2(C1CN)CCOCC2,C[C@H]1CCOC12CCOCC2
EN300-7545027,666.0,COc1cc(ccc1Br)C2(CCC2)N,COc1cc(C2CCC2)ccc1Br
EN300-7542736,438.0,C1CC1CC2(CC2)N,C1CC1CC1CC1
EN300-7542851,666.0,CCC[C@H](C(F)F)N,CCCCC(F)F
EN300-7543064,666.0,C[C@H](c1ccc(cc1)OCCF)N,CCc1ccc(OCCF)cc1
EN300-7543146,206.0,Cc1ccc(cc1)S(=O)CCN,CC[S@](=O)c1ccc(C)cc1
EN300-7543188,735.0,c1ccc(cc1)C/C=C/CN,C/C=C/Cc1ccccc1
EN300-27108242,735.0,C1C(CC1(F)F)[C@H](C(F)F)N,FC(F)CC1CC(F)(F)C1
EN300-20799534,487.0,Cc1ccc(c(c1)OCCCN)[N+](=O)[O-],CCCOc1cc(C)ccc1[N+](=O)[O-]
EN300-7543238,714.0,Cc1[nH]c2c(n1)CCCC2N,Cc1nc2c([nH]1)CCCC2
EN300-7543383,666.0,CN1C(=O)C(CO1)N,CN1OCCC1=O
EN300-7543480,530.0,CC(C1(CCC1)N)(F)F,CC(F)(F)C1CCC1
EN300-7543545,509.0,COc1ccc2c(cc(=O)oc2c1)CN,COc1ccc2c(C)cc(=O)oc2c1
EN300-7549877,361.0,CC(C)(C)S(=O)(=O)CCCN,CCCS(=O)(=O)C(C)(C)C
EN300-7549971,735.0,CC(C)[C@@H](C(F)F)N,CC(C)CC(F)F
EN300-7549975,735.0,CC(C)[C@H](C(F)F)N,CC(C)CC(F)F
EN300-7207402,672.0,C1C(CSC1C(F)(F)F)N,FC(F)(F)[C@@H]1CCCS1
EN300-27113574,206.0,C(CN)CNS(=O)(=O)C(F)(F)F,CCCNS(=O)(=O)C(F)(F)F
EN300-27113578,487.0,Cc1nnc2n1CCC(C2)N,Cc1nnc2n1CCCC2
EN300-7546443,90.0,C1CCN(C(=O)C1)CCN,CCN1CCCCC1=O
EN300-27115160,572.0,CC(C)(C)c1ccc(c(c1)OC)CN,COc1cc(C(C)(C)C)ccc1C
EN300-7502958,1118.0,COc1ccc(nc1C(F)F)CN,COc1ccc(C)nc1C(F)F
EN300-7544003,503.0,c1cc(c(cc1[N+](=O)[O-])O)CN,Cc1ccc([N+](=O)[O-])cc1O
EN300-7544461,708.0,Cn1c(c(cn1)C=C)CN,C=Cc1cnn(C)c1C
EN300-7544521,481.0,Cc1nncn1CCCN,CCCn1cnnc1C
EN300-7544725,530.0,C1CC1(C(CO)O)N,OC[C@H](O)C1CC1
EN300-7550642,673.0,CN1C[C@@H]2[C@H](C1)[C@H]2N,CN1C[C@H]2C[C@H]2C1
EN300-7550655,431.0,C(c1nnc(s1)CO)N,Cc1nnc(CO)s1
EN300-7550729,721.0,C[C@@H](c1ccn(n1)C)N,CCc1ccn(C)n1
EN300-7551484,353.0,CC(c1nnc(s1)CO)N,CCc1nnc(CO)s1
EN300-7544779,650.0,c1c(cncc1Br)C2(CCC2)N,Brc1cncc(C2CCC2)c1
EN300-7544978,735.0,CC(C)(CC(F)F)N,CC(C)CC(F)F
EN300-7547284,703.0,Cc1cc(=O)c(c(n1C)CN)OCc2ccccc2,Cc1cc(=O)c(OCc2ccccc2)c(C)n1C
EN300-7547395,666.0,CC(CN)(c1ccccc1)C(F)(F)F,CC(C)(c1ccccc1)C(F)(F)F
EN300-20146866,481.0,C1CC[C@H]([C@H](C1)N)F,FC1CCCCC1
EN300-26675131,623.0,c1ccc(cc1)C(CNC(=O)c2cnn(n2)c3ccccc3)N,O=C(NCCc1ccccc1)c1cnn(-c2ccccc2)n1
EN300-26675172,325.0,c1cc(c(cc1CN)F)CNC(=O)c2csc3c2CCCC3,Cc1ccc(CNC(=O)c2csc3c2CCCC3)c(F)c1
EN300-26675217,735.0,CCCC(C)N1CC(CC1=O)C(=O)N2CCc3c(nc(s3)CN)C2,CCCC(C)N1CC(C(=O)N2CCc3sc(C)nc3C2)CC1=O
EN300-26675251,142.0,CC(c1c(cc(cc1)Cl)C(=O)N[C@H]2CC[C@@H](CC2)CN)C,CC(C)c1ccc(Cl)cc1C(=O)N[C@H]1CC[C@H](C)CC1
EN300-26675263,735.0,c1ccc(cc1)[C@]2(C[C@H](C2)NC(=O)c3sc(nc3)C4OCCC4)CN,C[C@]1(c2ccccc2)C[C@@H](NC(=O)c2cnc([C@@H]3CCCO3)s2)C1
EN300-26675271,813.0,CC(C)(CN)C1CCN(CC1)C(=O)CC2(CC2)c3ccccc3,CC(C)(C)C1CCN(C(=O)CC2(c3ccccc3)CC2)CC1
EN300-26675280,425.0,c1ccc2c(c1)C[C@H]([C@@H]2N)NC(=O)c3cn(nn3)C4CCCCC4,O=C(NC1Cc2ccccc2C1)c1cn(C2CCCCC2)nn1
EN300-26675313,524.0,CC1(CCN(CC1)C(=O)C[C@@H]2C[C@H]2c3ccc(cc3)OC)CN,COc1ccc([C@@H]2C[C@H]2CC(=O)N2CCC(C)(C)CC2)cc1
EN300-26675391,425.0,c1ccc(cc1)c2c(con2)C(=O)N[C@@H]3Cc4ccccc4[C@H]3N,O=C(NC1Cc2ccccc2C1)c1conc1-c1ccccc1
EN300-26675404,487.0,c1ccc2cc(ccc2c1)CC(=O)NC(CN)C3CCCCC3,C[C@H](NC(=O)Cc1ccc2ccccc2c1)C1CCCCC1
EN300-26675437,735.0,CC(C)c1ccc(cc1)C(CNC(=O)C2CCN(S2(=O)=O)C)N,CC(C)c1ccc(CCNC(=O)[C@@H]2CCN(C)S2(=O)=O)cc1
