ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-7427541,735.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCc5ccc(cc5[C@@H]4C(=O)O)Br,Brc1ccc2c(c1)CNCC2
EN300-385331,666.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC[C@H](c5c4ccc(c5)Br)C(=O)O,Brc1ccc2c(c1)CCCN2
EN300-385320,494.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4C[C@@H](c5c4ccc(c5)Br)CC(=O)O,C[C@H]1CNc2ccc(Br)cc21
EN300-1073412,735.0,c1ccc(cc1)[C@H]2CN(C[C@@]2(C(=O)O)C(F)(F)F)C(=O)OCC3c4ccccc4-c5c3cccc5,FC(F)(F)[C@@H]1CNC[C@@H]1c1ccccc1
EN300-7472186,1118.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CC[C@@](C4)(c5cccc(c5)Br)C(=O)O,Brc1cccc([C@H]2CCNC2)c1
EN300-1267124,629.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4C[C@@H]([C@H](C4)C(=O)O)c5ccc(cc5)Br,Brc1ccc([C@@H]2CCNC2)cc1
EN300-1556713,637.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCN(CC4)S(=O)(=O)c5cccc(c5)C(=O)O,O=S(=O)(c1ccccc1)N1CCNCC1
EN300-81097,686.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCN(CC4)S(=O)(=O)c5ccc(cc5)C(=O)O,O=S(=O)(c1ccccc1)N1CCNCC1
EN300-1716611,920.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCOc5c(cc(cc5C(=O)O)Br)C4,Brc1ccc2c(c1)CNCCO2
EN300-1665501,623.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4CCOc5c(cc(cc5Br)C(=O)O)C4,Brc1cccc2c1OCCNC2
EN300-1556195,1328.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4[C@@H](CSC4c5cccc(c5)OC(F)F)C(=O)O,FC(F)Oc1cccc([C@H]2NCCS2)c1
EN300-1556197,1349.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N4[C@@H](CSC4c5ccc(cc5)C(F)(F)F)C(=O)O,FC(F)(F)c1ccc([C@H]2NCCS2)cc1
