ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-136629,136.0,CC(=O)Nc1cccnc1C(=O)O,CC(=O)Nc1cccnc1
EN300-114593,395.0,c1cc2c(cnn2nc1)C(=O)O,c1cnn2nccc2c1
EN300-118458,431.0,Cc1c(c2ccccc2o1)C(=O)O,Cc1cc2ccccc2o1
EN300-119853,224.0,COc1ccc(nc1Cl)C(=O)O,COc1cccnc1Cl
EN300-133527,672.0,C1CC(CCC1C(F)F)C(=O)O,FC(F)C1CCCCC1
EN300-16592,19.0,c1ccc2c(c1)cc([nH]2)C(=O)O,c1ccc2[nH]ccc2c1
EN300-16768,19.0,c1ccc(cc1)C(=O)NCC(=O)O,CNC(=O)c1ccccc1
EN300-16990,19.0,c1ccc(c(c1)c2ccc(cc2)C(F)(F)F)C(=O)O,FC(F)(F)c1ccc(-c2ccccc2)cc1
EN300-136497,481.0,COC(c1ccc(cc1)OCc2ccccc2)C(=O)O,COCc1ccc(OCc2ccccc2)cc1
EN300-136675,254.0,c1cc2c(c(cnc2c(c1)Br)O)C(=O)O,Oc1cnc2c(Br)cccc2c1
EN300-136578,157.0,C1CCC(C(C1)C(=O)O)(F)F,FC1(F)CCCCC1
EN300-101018,349.0,c1cocc1CC(=O)O,Cc1ccoc1
EN300-132403,206.0,CCC(Cc1ccc(cc1)[N+](=O)[O-])C(=O)O,CCCCc1ccc([N+](=O)[O-])cc1
EN300-131346,333.0,CC(C)CC(C)C(=O)O,CCCC(C)C
EN300-18145,36.0,c1cc(oc1)/C=C/C(=O)O,C=Cc1ccco1
EN300-18326,19.0,c1cc(c(cc1Cl)O)C(=O)O,Oc1cccc(Cl)c1
EN300-18335,19.0,c1cc(c(cc1[N+](=O)[O-])C(=O)O)Cl,O=[N+]([O-])c1ccc(Cl)cc1
EN300-18337,19.0,COc1cccc(c1C(=O)O)OC,COc1cccc(OC)c1
EN300-19035,19.0,c1cc(=O)occ1C(=O)O,O=c1cccco1
EN300-19301,19.0,c1ccc2c(c1)ccc(n2)C(=O)O,c1ccc2ncccc2c1
EN300-20508,19.0,COc1ccc(cc1OC)C(=O)O,COc1ccccc1OC
EN300-21009,19.0,C1CC(OC1)C(=O)O,C1CCOC1
EN300-21445,19.0,c1ccc2c(c1)c(n[nH]2)C(=O)O,c1ccc2[nH]ncc2c1
EN300-21461,19.0,c1cc(ccc1C(=O)O)O,Oc1ccccc1
EN300-42701,19.0,COC(c1ccccc1)C(=O)O,COCc1ccccc1
EN300-136391,425.0,Cc1c(c(n(n1)C)Oc2ccccc2OC)/C=C/C(=O)O,C=Cc1c(C)nn(C)c1Oc1ccccc1OC
EN300-129723,39.0,c1ccc(cc1)C(C(=O)O)F,FCc1ccccc1
EN300-142162,162.0,C/C(=C\C(=O)O)/c1ccc(cc1)F,C=C(C)c1ccc(F)cc1
EN300-142519,431.0,c1c(cc(cc1C(=O)O)O)C#N,N#Cc1cccc(O)c1
EN300-142567,325.0,CC(CC(C)(C)C)C(=O)O,CCCC(C)(C)C
EN300-21490,19.0,c1ccc2c(c1)c(cc(c2O)C(=O)O)O,Oc1ccc(O)c2ccccc12
EN300-22339,19.0,Cc1ccc(c(c1)C(=O)O)O,Cc1ccc(O)cc1
EN300-28604,19.0,c1ccc(cc1)C#CC(=O)O,C#Cc1ccccc1
EN300-18034,19.0,COc1ccccc1C(=O)O,COc1ccccc1
EN300-154015,98.0,Cc1ccc(c(c1)C)c2cc(n[nH]2)C(=O)O,Cc1ccc(-c2ccn[nH]2)c(C)c1
EN300-152927,206.0,C1CCN(C1)C(=O)C2(CC2)C(=O)O,O=C(C1CC1)N1CCCC1
EN300-98143,623.0,c1c(c(n[nH]1)C(=O)O)F,Fc1cn[nH]c1
EN300-105066,19.0,Cc1nc(co1)C(=O)O,Cc1ncco1
EN300-140646,425.0,Cc1cc2c(cc1C)OCC2C(=O)O,Cc1cc2c(cc1C)OCC2
EN300-140760,389.0,CCOc1c(cnn1c2ccccc2)C(=O)O,CCOc1ccnn1-c1ccccc1
EN300-18122,19.0,c1ccc(cc1)OCC(=O)O,COc1ccccc1
EN300-19811,19.0,Cc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])C(=O)O,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
EN300-17315,19.0,Cc1cccc(c1O)C(=O)O,Cc1ccccc1O
EN300-20294,19.0,c1cc(c(cc1F)F)C(=O)O,Fc1cccc(F)c1
EN300-152607,119.0,CC(CC(=O)O)n1ccnc1,CC(C)n1ccnc1
EN300-153769,438.0,Cc1cc2cc(cnc2c(c1)F)C(=O)O,Cc1cc(F)c2ncccc2c1
EN300-122995,351.0,C1CCC(C1)(C(=O)O)F,FC1CCCC1
EN300-17942,19.0,c1ccc(cc1)Oc2ccccc2C(=O)O,c1ccc(Oc2ccccc2)cc1
EN300-19469,19.0,c1cc(c(c(c1)Cl)C(=O)O)F,Fc1cccc(Cl)c1
EN300-17210,19.0,c1cc(c(c(c1)Cl)Cl)C(=O)O,Clc1ccccc1Cl
EN300-20036,19.0,c1cc(c(c(c1)F)C(=O)O)F,Fc1cccc(F)c1
EN300-20039,19.0,COc1ccc(c(c1)OC)C(=O)O,COc1cccc(OC)c1
EN300-58580,213.0,CN(C)c1ccc(cc1F)C(=O)O,CN(C)c1ccccc1F
EN300-74859,123.0,c1ccc2c(c1)[nH]c(n2)C(C(C(=O)O)O)O,OC[C@H](O)c1nc2ccccc2[nH]1
EN300-112769,23.0,c1ccc(cc1)c2ccc(cc2)CCC(=O)O,CCc1ccc(-c2ccccc2)cc1
EN300-112709,19.0,c1cc(c(cc1Br)C(=O)O)Br,Brc1ccc(Br)cc1
EN300-95365,367.0,C1CCC=C(CC1)C(=O)O,C1=CCCCCC1
EN300-111304,216.0,CCC1CCC(CC1)(C(=O)O)O,CCC1CCC(O)CC1
EN300-109578,19.0,Cc1cc(c(o1)C(F)(F)F)C(=O)O,Cc1ccc(C(F)(F)F)o1
EN300-123717,212.0,CN(C)C(=O)COc1ccc(cc1)C(C(=O)O)(F)F,CN(C)C(=O)COc1ccc(C(F)F)cc1
EN300-126145,503.0,C[C@H]1C[C@@H]1C(=O)O,CC1CC1
EN300-142241,389.0,c1cc(c(c(c1)Cl)CC(C(=O)O)O)F,OCCc1c(F)cccc1Cl
EN300-141374,92.0,c1ccc(c(c1)CC(C(=O)O)O)Cl,OCCc1ccccc1Cl
EN300-19857,19.0,c1cc(cc(c1)Br)C(=O)O,Brc1ccccc1
EN300-20301,19.0,c1cc(ccc1CC(=O)O)Cl,Cc1ccc(Cl)cc1
EN300-18407,19.0,CCOc1ccc(cc1OCC)C(=O)O,CCOc1ccccc1OCC
EN300-20274,19.0,c1c(cnc(c1Cl)Cl)C(=O)O,Clc1cccnc1Cl
EN300-17252,19.0,Cc1cccc(c1C)C(=O)O,Cc1ccccc1C
EN300-133291,389.0,CN1CCc2c1ccc(c2)c3nc(cs3)C(=O)O,CN1CCc2cc(-c3nccs3)ccc21
EN300-130743,261.0,c1cc(cc(c1)C(F)(F)F)CCCC(=O)O,CCCc1cccc(C(F)(F)F)c1
EN300-140387,178.0,CCCCOc1cc(ccc1C(=O)O)OC,CCCCOc1cccc(OC)c1
EN300-140444,353.0,Cn1cnnc1C2CCCN(C2)C(=O)CCC(=O)O,CCC(=O)N1CCC[C@H](c2nncn2C)C1
EN300-16022,92.0,Cc1ccc(cc1)S(=O)(=O)NC(CCSC)C(=O)O,CSCCCNS(=O)(=O)c1ccc(C)cc1
EN300-18153,19.0,c1c(cc(c(c1C(=O)O)Cl)[N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
EN300-17291,19.0,c1ccc(c(c1)CC(=O)O)Cl,Cc1ccccc1Cl
EN300-137215,556.0,c1cc(c(c(c1)F)C#N)C(=O)O,N#Cc1ccccc1F
EN300-141453,466.0,CN(CCOC)c1ccnc(c1)C(=O)O,COCCN(C)c1ccncc1
EN300-135079,194.0,Cc1ccc(c(c1)CCCC(=O)O)C,CCCc1cc(C)ccc1C
EN300-139972,175.0,c1cc(ccc1c2[nH]ncn2)C(=O)O,c1ccc(-c2ncn[nH]2)cc1
EN300-139795,19.0,C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O,CCc1ccc2cc(OC)ccc2c1
EN300-141906,247.0,c1c(nc(o1)C2CCCCC2)C(=O)O,c1coc(C2CCCCC2)n1
EN300-141025,206.0,COc1cc(c(cc1Cl)C(=O)O)Cl,COc1cc(Cl)ccc1Cl
EN300-141608,19.0,Cn1c(c2ccccc2n1)C(=O)O,Cn1cc2ccccc2n1
EN300-20810,41.0,c1ccc(cc1)CCc2ccccc2C(=O)O,c1ccc(CCc2ccccc2)cc1
EN300-00227,90.0,c1ccc2c(c1)CCCN2C(=O)/C=C/C(=O)O,C=CC(=O)N1CCCc2ccccc21
EN300-21137,19.0,COC(=O)c1ccc(cc1)C(=O)O,COC(=O)c1ccccc1
EN300-139034,19.0,c1c(cnc(c1[N+](=O)[O-])O)C(=O)O,O=[N+]([O-])c1cccnc1O
