ID,Price_250mg,BB_SMILES,truncate_SMILES
EN300-7361318,1153.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@H]4CCCC[C@@H]4C(=O)O,C1CCCCC1
EN300-755426,1163.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(Cc4ccnnc4)C(=O)O,CCc1ccnnc1
EN300-7196502,1194.0,CC(C)(C(C(=O)O)NC(=O)OCC1c2ccccc2-c3c1cccc3)F,CC(C)(C)F
EN300-321701,1194.0,CC(C)(C[C@@H](C(=O)O)NC(=O)OCC1c2ccccc2-c3c1cccc3)C=C,C=CC(C)(C)CC
EN300-657735,1194.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](Cc4ncccn4)C(=O)O,CCc1ncccn1
EN300-6494138,1196.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@H](C4=CCC5CC5C4)C(=O)O,CC1=CCC2CC2C1
EN300-650899,1205.0,C[C@]1(C[C@@](C1)(NC(=O)OCC2c3c(cccc3)-c4c2cccc4)C(=O)O)O,CC1(O)CCC1
EN300-1267061,1205.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](Cc4ccc5c(c4)[nH]c(=O)o5)C(=O)O,CCc1ccc2oc(=O)[nH]c2c1
EN300-28303075,1214.0,CC1(OCC(CO1)(C(=O)O)NC(=O)OCC2c3ccccc3-c4c2cccc4)C,CC1(C)OCCCO1
EN300-6737591,1214.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4CCC(CCC4(F)F)C(=O)O,FC1(F)CCCCCC1
EN300-3421924,1214.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](CC4CCC(CC4)(F)F)C(=O)O,CCC1CCC(F)(F)CC1
EN300-841648,1225.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@H]4CC[C@@]5([C@H]4C5)C(=O)O,C1C[C@@H]2C[C@H]2C1
EN300-37276446,1225.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H]4CC[C@@]5([C@H]4C5)C(=O)O,C1C[C@@H]2C[C@H]2C1
EN300-33041389,1225.0,CC12CC(C1)(C(O2)C(=O)O)NC(=O)OCC3c4ccccc4-c5c3cccc5,CC12CC(CO1)C2
EN300-37375965,1225.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCC4CC(CCO4)C(=O)O,C[C@H]1CCCCO1
EN300-37314033,1225.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](C[C@H](C(=O)N)F)C(=O)O,CC[C@@H](F)C(N)=O
EN300-3415022,1225.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](Cc4cncs4)C(=O)O,CCc1cncs1
EN300-7564056,1225.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(Cc4ccnc(c4)F)C(=O)O,CCc1ccnc(F)c1
EN300-650682,1225.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(C4CCS(=O)(=O)C4)C(=O)O,C[C@H]1CCS(=O)(=O)C1
EN300-26990570,1225.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4C5CC6CC(C5)CC4(C6)C(=O)O,C1C2CC3CC1CC(C2)C3
EN300-27160220,1225.0,C[C@](CC(=O)NC(c1ccccc1)(c2ccccc2)c3ccccc3)(C(=O)O)NC(=O)OCC4c5ccccc5-c6c4cccc6,CCCC(=O)NC(c1ccccc1)(c1ccccc1)c1ccccc1
EN300-649779,1235.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)Nc4cc(cnc4)C(=O)O,c1ccncc1
EN300-650116,1235.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4CC5(C4)CC(C5)C(=O)O,C1CC2(C1)CCC2
EN300-27781065,1235.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC[C@H]4CO[C@@H](CO4)C(=O)O,C[C@H]1COCCO1
EN300-27147077,1235.0,CC(C)(C)O[C@H](CNC(=O)OCC1c2ccccc2-c3c1cccc3)C(=O)O,CCOC(C)(C)C
EN300-27779358,1235.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NCC45CC(C4)C(CO5)C(=O)O,CC12CC(CCO1)C2
EN300-27727117,1235.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4CC5(C4)CC6(C5)CC(C6)C(=O)O,C1CC2(C1)CC1(CCC1)C2
EN300-658176,1235.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(c4ccc(cc4)C(=O)O)C(F)(F)F,FC(F)(F)Cc1ccccc1
EN300-650354,1235.0,c1ccc2c(c1)CCCN2CC(C(=O)O)NC(=O)OCC3c4ccccc4-c5c3cccc5,CCN1CCCc2ccccc21
EN300-28304447,1235.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC4(CC5(C4)CC6(C5)CC(C6)(F)F)C(=O)O,FC1(F)CC2(C1)CC1(CCC1)C2
EN300-27160430,1235.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)N[C@@H](Cc4csc5c4c(ccc5)F)C(=O)O,CCc1csc2cccc(F)c12
EN300-1086878,1245.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(Cc4nccs4)C(=O)O,CCc1nccs1
EN300-6729044,1245.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(Cc4cc(sc4Br)Br)C(=O)O,CCc1cc(Br)sc1Br
EN300-649947,1276.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC45CC(C4)(C5)C(=O)O,C1C2CC1C2
EN300-657644,1276.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC45CCCC(C4)(C5)C(=O)O,C1CC2CC(C1)C2
EN300-624054,1288.0,c1ccc2c(c1)-c3ccccc3C2COC(=O)NC(CCc4ccc(cc4)F)C(=O)O,CCCc1ccc(F)cc1
